method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
word2vec,15,a_only,phase1,12.87985014601145,1.657753049978055,0.5142857142857142
word2vec,8,b_only,phase1,12.87985014601145,1.657753049978055,-0.14285714285714288
word2vec,527,shared,phase1,12.87985014601145,1.657753049978055,0.18788393708055406
word2vec,202,cross,phase1,12.87985014601145,1.657753049978055,0.1342486934993809
word2vec,15,a_only,phase2,12.87985014601145,1.657753049978055,0.5142857142857142
word2vec,8,b_only,phase2,12.87985014601145,1.657753049978055,0.023809523809523815
word2vec,527,shared,phase2,12.87985014601145,1.657753049978055,0.1028799130564943
word2vec,202,cross,phase2,12.87985014601145,1.657753049978055,0.14877040800934305
