method,phase_similarity,tag,word
ssh,1.0,a_only,rd
ssh,0.5458937198067633,shared,sum
ssh,1.0,a_only,axioms
ssh,0.4883720930232558,shared,exercise
ssh,0.6,shared,surveyed
ssh,1.0,a_only,economically
ssh,0.3168724279835391,shared,whether
ssh,0.08843537414965986,b_only,stooped
ssh,0.6931216931216931,shared,miraculous
ssh,0.5458937198067633,shared,picturesque
ssh,1.0,a_only,luanda
ssh,1.0,a_only,reef
ssh,0.06666666666666667,b_only,sleepy
ssh,0.48148148148148145,shared,useless
ssh,0.7021276595744681,shared,surveying
ssh,1.0,a_only,phenomena
ssh,1.0,a_only,penalties
ssh,0.11498257839721254,b_only,fitzwilliam
ssh,1.0,a_only,politically
ssh,1.0,a_only,prior
ssh,0.3617021276595745,shared,these
ssh,0.3617021276595745,shared,darkness
ssh,1.0,a_only,zahn
ssh,1.0,a_only,provincial
ssh,0.5920398009950248,shared,abruptly
ssh,0.5384615384615384,shared,suspended
ssh,1.0,a_only,asteraceae
ssh,1.0,a_only,extant
ssh,0.11888111888111888,b_only,recollections
ssh,0.3445378151260504,shared,try
ssh,1.0,a_only,commitment
ssh,0.6243654822335025,shared,accidental
ssh,0.3445378151260504,shared,fast
ssh,1.0,a_only,skilled
ssh,1.0,a_only,ranked
ssh,0.3333333333333333,shared,hear
ssh,1.0,a_only,alternatives
ssh,1.0,a_only,molinari
ssh,0.09965635738831616,b_only,congratulate
ssh,0.6931216931216931,shared,incomplete
ssh,0.32231404958677684,shared,end
ssh,0.3559322033898305,shared,mrs
ssh,0.5686274509803921,shared,sailors
ssh,1.0,a_only,warriors
ssh,0.0847457627118644,b_only,pap
ssh,0.5311004784688995,shared,ancient
ssh,1.0,a_only,processing
ssh,0.7021276595744681,shared,beneficial
ssh,0.46788990825688076,shared,swept
ssh,0.5384615384615384,shared,ruined
ssh,1.0,a_only,processes
ssh,1.0,a_only,dictator
ssh,0.08843537414965986,b_only,frankly
ssh,0.3008130081300813,shared,serious
ssh,0.39737991266375544,shared,citizen
ssh,1.0,a_only,surplus
ssh,0.4883720930232558,shared,accordingly
ssh,1.0,a_only,legislation
ssh,0.7297297297297297,shared,palm
ssh,1.0,a_only,cube
ssh,1.0,a_only,mineral
ssh,0.6580310880829016,shared,similarly
ssh,0.3333333333333333,shared,standing
ssh,0.5609756097560976,shared,overwhelmed
ssh,1.0,a_only,limiting
ssh,0.350210970464135,shared,some
ssh,0.0738255033557047,b_only,tin
ssh,0.44144144144144143,shared,saint
ssh,0.6580310880829016,shared,smooth
ssh,0.7112299465240641,shared,anne
ssh,1.0,a_only,efficient
ssh,0.47465437788018433,shared,spend
ssh,0.5533980582524272,shared,efforts
ssh,0.6410256410256411,shared,esteem
ssh,0.6494845360824743,shared,independent
ssh,1.0,a_only,propaganda
ssh,1.0,a_only,nationalism
ssh,0.3333333333333333,shared,duchess
ssh,0.05263157894736842,b_only,quivered
ssh,0.3559322033898305,shared,that
ssh,0.350210970464135,shared,books
ssh,0.3278008298755187,shared,instant
ssh,1.0,a_only,charlemagne
ssh,0.0847457627118644,b_only,wig
ssh,0.5023474178403756,shared,abode
ssh,0.08108108108108109,b_only,peasant
ssh,1.0,a_only,arizona
ssh,0.5763546798029556,shared,unusually
ssh,1.0,a_only,rand
ssh,0.44144144144144143,shared,aware
ssh,0.5165876777251185,shared,arrangements
ssh,1.0,a_only,amides
ssh,0.350210970464135,shared,neither
ssh,0.7112299465240641,shared,novels
ssh,0.7021276595744681,shared,explains
ssh,0.6842105263157895,shared,roger
ssh,0.675392670157068,shared,comedy
ssh,1.0,a_only,antihydrogen
ssh,0.5609756097560976,shared,declined
ssh,0.5384615384615384,shared,employment
ssh,0.4222222222222222,shared,instance
ssh,0.0958904109589041,b_only,drooping
ssh,1.0,a_only,chlorine
ssh,0.0738255033557047,b_only,cheeks
ssh,1.0,a_only,nebraska
ssh,1.0,a_only,politicians
ssh,0.5311004784688995,shared,authorities
ssh,1.0,a_only,nominee
ssh,1.0,a_only,pc
ssh,0.40350877192982454,shared,single
ssh,0.3445378151260504,shared,street
ssh,0.3852813852813853,shared,action
ssh,0.4611872146118721,shared,mail
ssh,0.09215017064846416,b_only,sawed
ssh,0.3445378151260504,shared,church
ssh,0.08843537414965986,b_only,compassion
ssh,1.0,a_only,permanently
ssh,0.7112299465240641,shared,disaster
ssh,1.0,a_only,sa
ssh,1.0,a_only,snowball
ssh,0.07744107744107744,b_only,saddle
ssh,0.08843537414965986,b_only,gems
ssh,1.0,a_only,achievements
ssh,0.08843537414965986,b_only,nervously
ssh,0.32231404958677684,shared,wants
ssh,0.36752136752136755,shared,slight
ssh,0.04918032786885246,b_only,noticing
ssh,1.0,a_only,seabed
ssh,0.08843537414965986,b_only,lizzy
ssh,0.7297297297297297,shared,vehicle
ssh,1.0,a_only,ka
ssh,0.32231404958677684,shared,in
ssh,1.0,a_only,linebacker
ssh,0.3168724279835391,shared,latter
ssh,1.0,a_only,chloroplasts
ssh,0.06312292358803986,b_only,lamps
ssh,1.0,a_only,andre
ssh,0.7777777777777778,shared,serves
ssh,0.6,shared,designed
ssh,0.3333333333333333,shared,believe
ssh,1.0,a_only,structural
ssh,0.6842105263157895,shared,planted
ssh,0.7112299465240641,shared,peacefully
ssh,0.46788990825688076,shared,feels
ssh,0.13074204946996468,b_only,blazing
ssh,1.0,a_only,homepage
ssh,0.40350877192982454,shared,somewhat
ssh,1.0,a_only,links
ssh,0.3852813852813853,shared,cousin
ssh,0.5458937198067633,shared,apply
ssh,1.0,a_only,robots
ssh,0.5311004784688995,shared,eldest
ssh,1.0,a_only,acta
ssh,0.46788990825688076,shared,closer
ssh,1.0,a_only,accessed
ssh,0.42857142857142855,shared,chamber
ssh,0.0738255033557047,b_only,transylvania
ssh,0.6161616161616161,shared,wages
ssh,0.6666666666666666,shared,infancy
ssh,0.5094339622641509,shared,silk
ssh,1.0,a_only,settlement
ssh,0.09215017064846416,b_only,spectacles
ssh,0.08108108108108109,b_only,inquiries
ssh,0.40969162995594716,shared,unconscious
ssh,1.0,a_only,egypt
ssh,1.0,a_only,hawaii
ssh,1.0,a_only,wells
ssh,0.4883720930232558,shared,subtle
ssh,1.0,a_only,canterbury
ssh,0.4479638009049774,shared,rush
ssh,1.0,a_only,increases
ssh,0.5023474178403756,shared,july
ssh,0.5094339622641509,shared,neighbours
ssh,1.0,a_only,conversion
ssh,1.0,a_only,universally
ssh,1.0,a_only,leadership
ssh,0.6494845360824743,shared,tightly
ssh,1.0,a_only,applications
ssh,0.350210970464135,shared,placed
ssh,1.0,a_only,depicting
ssh,1.0,a_only,facial
ssh,1.0,a_only,composer
ssh,1.0,a_only,mainstream
ssh,0.5609756097560976,shared,slavery
ssh,1.0,a_only,separately
ssh,0.3852813852813853,shared,shot
ssh,0.4953271028037383,shared,argument
ssh,1.0,a_only,es
ssh,0.37339055793991416,shared,think
ssh,1.0,a_only,abwehr
ssh,0.6326530612244898,shared,bullet
ssh,0.3333333333333333,shared,tired
ssh,1.0,a_only,semitic
ssh,0.46788990825688076,shared,elderly
ssh,0.08843537414965986,b_only,tinker
ssh,0.5763546798029556,shared,toes
ssh,0.3617021276595745,shared,warn
ssh,0.4479638009049774,shared,nest
ssh,1.0,a_only,vehicles
ssh,0.6161616161616161,shared,victory
ssh,1.0,a_only,buddhist
ssh,1.0,a_only,aalborg
ssh,1.0,a_only,vladimir
ssh,1.0,a_only,macedon
ssh,0.4953271028037383,shared,royal
ssh,1.0,a_only,acupuncture
ssh,1.0,a_only,sahara
