method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,125.06028373999288,0.27264848126698654
ssh,8,b_only,phase1,0.0,125.06028373999288,-0.7831893756568049
ssh,527,shared,phase1,0.0,125.06028373999288,0.17075701281767036
ssh,202,cross,phase1,0.0,125.06028373999288,0.10371403032320886
ssh,15,a_only,phase2,0.0,125.06028373999288,0.27264848126698654
ssh,8,b_only,phase2,0.0,125.06028373999288,-0.4431217169079058
ssh,527,shared,phase2,0.0,125.06028373999288,0.05271488544754365
ssh,202,cross,phase2,0.0,125.06028373999288,0.2723617026295133
