method,phase_similarity,tag,word
ssh,0.29554655870445345,shared,result
ssh,0.47465437788018433,shared,follows
ssh,0.5920398009950248,shared,monday
ssh,1.0,a_only,depicted
ssh,1.0,a_only,nazis
ssh,0.07744107744107744,b_only,brows
ssh,0.07744107744107744,b_only,monstrous
ssh,1.0,a_only,airlines
ssh,0.2698412698412698,shared,round
ssh,1.0,a_only,regardless
ssh,0.391304347826087,shared,pulled
ssh,1.0,a_only,extant
ssh,0.0738255033557047,b_only,borrow
ssh,1.0,a_only,vilayet
ssh,0.7021276595744681,shared,multitude
ssh,0.3278008298755187,shared,self
ssh,0.45454545454545453,shared,farther
ssh,0.3793103448275862,shared,cross
ssh,1.0,a_only,functional
ssh,1.0,a_only,tennis
ssh,1.0,a_only,jewish
ssh,1.0,a_only,colleges
ssh,0.36752136752136755,shared,explain
ssh,0.4883720930232558,shared,mate
ssh,0.08843537414965986,b_only,floated
ssh,1.0,a_only,badge
ssh,0.44144144144144143,shared,applied
ssh,0.6666666666666666,shared,dropping
ssh,0.1267605633802817,b_only,snowy
ssh,0.285140562248996,shared,angry
ssh,1.0,a_only,arnold
ssh,0.3278008298755187,shared,god
ssh,1.0,a_only,imported
ssh,0.7486338797814208,shared,circles
ssh,1.0,a_only,associates
ssh,1.0,a_only,metres
ssh,0.11888111888111888,b_only,fond
ssh,0.285140562248996,shared,both
ssh,1.0,a_only,dedicated
ssh,0.4611872146118721,shared,mars
ssh,0.6,shared,paddington
ssh,0.5609756097560976,shared,cake
ssh,0.415929203539823,shared,highly
ssh,0.285140562248996,shared,wild
ssh,0.09965635738831616,b_only,solemnity
ssh,0.7391304347826086,shared,lieutenant
ssh,0.29554655870445345,shared,degree
ssh,0.6580310880829016,shared,sentiment
ssh,0.5238095238095238,shared,wave
ssh,0.07744107744107744,b_only,cracked
ssh,1.0,a_only,catholic
ssh,0.5023474178403756,shared,actress
ssh,1.0,a_only,approximately
ssh,0.32231404958677684,shared,high
ssh,0.5533980582524272,shared,missing
ssh,1.0,a_only,brian
ssh,0.6243654822335025,shared,banker
ssh,1.0,a_only,temperatures
ssh,0.08108108108108109,b_only,heah
ssh,1.0,a_only,scoring
ssh,1.0,a_only,uke
ssh,1.0,a_only,confederation
ssh,0.7582417582417582,shared,manuscript
ssh,0.415929203539823,shared,dawn
ssh,0.08108108108108109,b_only,dipped
ssh,1.0,a_only,unnamed
ssh,0.6080402010050251,shared,farmer
ssh,0.28,shared,those
ssh,0.0958904109589041,b_only,complain
ssh,0.7777777777777778,shared,longest
ssh,0.7486338797814208,shared,affirmative
ssh,0.3333333333333333,shared,meeting
ssh,0.7582417582417582,shared,advised
ssh,1.0,a_only,victorian
ssh,0.4883720930232558,shared,west
ssh,1.0,a_only,colspan
ssh,0.3617021276595745,shared,isn
ssh,0.6410256410256411,shared,largest
ssh,1.0,a_only,combinations
ssh,0.6494845360824743,shared,hay
ssh,0.10726643598615918,b_only,tread
ssh,1.0,a_only,sports
ssh,0.6842105263157895,shared,descendants
ssh,0.08108108108108109,b_only,guillotine
ssh,0.0738255033557047,b_only,ladyship
ssh,0.6,shared,respects
ssh,1.0,a_only,amber
ssh,0.32231404958677684,shared,against
ssh,0.37339055793991416,shared,cruel
ssh,0.6410256410256411,shared,overhead
ssh,0.5686274509803921,shared,bloom
ssh,0.11888111888111888,b_only,sill
ssh,0.10726643598615918,b_only,monde
ssh,1.0,a_only,chloroplasts
ssh,0.7021276595744681,shared,fruits
ssh,1.0,a_only,postal
ssh,0.5384615384615384,shared,sensation
ssh,0.391304347826087,shared,doors
ssh,0.3168724279835391,shared,lead
ssh,1.0,a_only,meters
ssh,0.25984251968503935,shared,whose
ssh,0.5686274509803921,shared,landing
ssh,0.3333333333333333,shared,movement
ssh,1.0,a_only,styles
ssh,0.08843537414965986,b_only,staring
ssh,1.0,a_only,alternatives
ssh,0.6161616161616161,shared,justified
ssh,1.0,a_only,institute
ssh,0.25,shared,manner
ssh,0.6494845360824743,shared,pigs
ssh,0.7112299465240641,shared,thirteen
ssh,0.5238095238095238,shared,unusual
ssh,0.3617021276595745,shared,sunday
ssh,0.7582417582417582,shared,neutral
ssh,0.0847457627118644,b_only,marrying
ssh,0.25,shared,worked
ssh,0.0738255033557047,b_only,clung
ssh,1.0,a_only,chadic
ssh,0.0847457627118644,b_only,horner
ssh,0.2549019607843137,shared,when
ssh,1.0,a_only,atlas
ssh,1.0,a_only,ambients
ssh,1.0,a_only,reviewed
ssh,1.0,a_only,monarch
ssh,1.0,a_only,lovell
ssh,0.5165876777251185,shared,distinctly
ssh,1.0,a_only,surveillance
ssh,0.4953271028037383,shared,apply
ssh,1.0,a_only,generalized
ssh,0.6842105263157895,shared,slaughter
ssh,1.0,a_only,nuclear
ssh,1.0,a_only,lucius
ssh,0.6842105263157895,shared,solved
ssh,0.3617021276595745,shared,six
ssh,0.09215017064846416,b_only,lads
ssh,1.0,a_only,doyle
ssh,0.7297297297297297,shared,adapted
ssh,0.797752808988764,shared,inherited
ssh,0.3333333333333333,shared,reading
ssh,0.7021276595744681,shared,discouraged
ssh,1.0,a_only,width
ssh,1.0,a_only,wildlife
ssh,0.5920398009950248,shared,consisted
ssh,0.23552123552123552,shared,saying
ssh,0.6161616161616161,shared,opium
ssh,0.4953271028037383,shared,stuff
ssh,0.07744107744107744,b_only,brushed
ssh,0.3389121338912134,shared,heavily
ssh,0.5763546798029556,shared,conclusions
ssh,0.5686274509803921,shared,reference
ssh,0.6080402010050251,shared,sunlight
ssh,0.6326530612244898,shared,bowl
ssh,0.48148148148148145,shared,practical
ssh,0.5533980582524272,shared,shocked
ssh,0.7204301075268817,shared,readers
ssh,0.7877094972067039,shared,pious
ssh,0.8181818181818182,shared,necessarily
ssh,0.8390804597701149,shared,trail
ssh,0.6243654822335025,shared,winning
ssh,0.3008130081300813,shared,whilst
ssh,0.08108108108108109,b_only,ashamed
ssh,0.7112299465240641,shared,violet
ssh,0.6,shared,million
ssh,0.5841584158415841,shared,plates
ssh,0.5165876777251185,shared,sixty
ssh,0.2749003984063745,shared,brother
ssh,0.5841584158415841,shared,career
ssh,1.0,a_only,variable
ssh,0.6580310880829016,shared,fiction
ssh,1.0,a_only,intel
ssh,1.0,a_only,oliver
ssh,0.10726643598615918,b_only,pictured
ssh,1.0,a_only,coppola
