method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,921.2858219600166,123.85048842598917,0.27264848126698654
ssh,8,b_only,phase1,921.2858219600166,123.85048842598917,-0.7831893756568049
ssh,527,shared,phase1,921.2858219600166,123.85048842598917,0.17075701281767036
ssh,202,cross,phase1,921.2858219600166,123.85048842598917,0.10371403032320886
ssh,15,a_only,phase2,921.2858219600166,123.85048842598917,0.27264848126698654
ssh,8,b_only,phase2,921.2858219600166,123.85048842598917,-0.4431217169079058
ssh,527,shared,phase2,921.2858219600166,123.85048842598917,0.0011254181388573295
ssh,202,cross,phase2,921.2858219600166,123.85048842598917,0.2333613861535178
