method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
word2vec,15,a_only,phase1,11.777355508995242,1.2900904100388288,0.5142857142857142
word2vec,8,b_only,phase1,11.777355508995242,1.2900904100388288,0.1666666666666667
word2vec,527,shared,phase1,11.777355508995242,1.2900904100388288,0.19702267624433503
word2vec,202,cross,phase1,11.777355508995242,1.2900904100388288,0.14558477422672855
word2vec,15,a_only,phase2,11.777355508995242,1.2900904100388288,0.5142857142857142
word2vec,8,b_only,phase2,11.777355508995242,1.2900904100388288,0.09523809523809526
word2vec,527,shared,phase2,11.777355508995242,1.2900904100388288,0.09470411090304899
word2vec,202,cross,phase2,11.777355508995242,1.2900904100388288,0.12719239819433462
