method,phase_similarity,tag,word
ssh,0.1510791366906475,b_only,cheerfulness
ssh,0.6,shared,foundation
ssh,1.0,a_only,generalized
ssh,0.5841584158415841,shared,sunlight
ssh,0.13074204946996468,b_only,madam
ssh,1.0,a_only,cemetery
ssh,0.21212121212121213,b_only,insensible
ssh,0.5841584158415841,shared,recent
ssh,0.6410256410256411,shared,spending
ssh,0.1510791366906475,b_only,rejoiced
ssh,0.5920398009950248,shared,indian
ssh,1.0,a_only,franz
ssh,1.0,a_only,argues
ssh,0.14285714285714285,b_only,dine
ssh,0.1347517730496454,b_only,queer
ssh,0.21673003802281368,b_only,tow
ssh,1.0,a_only,ethiopic
ssh,0.29554655870445345,shared,shaking
ssh,1.0,a_only,paradox
ssh,0.21673003802281368,b_only,knelt
ssh,0.3389121338912134,shared,cross
ssh,0.22137404580152673,b_only,loathing
ssh,0.19850187265917604,b_only,peasant
ssh,0.6080402010050251,shared,totally
ssh,1.0,a_only,topics
ssh,0.21673003802281368,b_only,wisht
ssh,0.6326530612244898,shared,entitled
ssh,1.0,a_only,treatise
ssh,0.19402985074626866,b_only,twas
ssh,0.6080402010050251,shared,spots
ssh,1.0,a_only,versus
ssh,1.0,a_only,aa
ssh,1.0,a_only,festival
ssh,0.20754716981132076,b_only,dagger
ssh,1.0,a_only,hitchcock
ssh,1.0,a_only,myths
ssh,1.0,a_only,relativity
ssh,1.0,a_only,creative
ssh,0.21212121212121213,b_only,inconvenience
ssh,0.7679558011049724,shared,indians
ssh,0.4349775784753363,shared,hopeless
ssh,0.4479638009049774,shared,suffering
ssh,0.6243654822335025,shared,velvet
ssh,0.3617021276595745,shared,notion
ssh,0.0847457627118644,b_only,delightful
ssh,0.5686274509803921,shared,leaf
ssh,1.0,a_only,origen
ssh,0.4222222222222222,shared,probable
ssh,0.2260536398467433,b_only,stoner
ssh,0.5533980582524272,shared,milk
ssh,0.21212121212121213,shared,very
ssh,0.3389121338912134,shared,fault
ssh,0.1267605633802817,b_only,funny
ssh,0.18081180811808117,b_only,clung
ssh,0.0738255033557047,b_only,sadly
ssh,1.0,a_only,motivated
ssh,1.0,a_only,tasks
ssh,1.0,a_only,manufacturers
ssh,0.29554655870445345,shared,present
ssh,0.6494845360824743,shared,county
ssh,0.7877094972067039,shared,j
ssh,1.0,a_only,david
ssh,1.0,a_only,facial
ssh,1.0,a_only,lacked
ssh,0.28,shared,cry
ssh,0.6410256410256411,shared,ahab
ssh,0.2648221343873518,shared,eight
ssh,0.18518518518518517,b_only,thursday
ssh,0.5165876777251185,shared,bolt
ssh,0.285140562248996,shared,remain
ssh,1.0,a_only,prolific
ssh,1.0,a_only,anglican
ssh,0.18081180811808117,shared,see
ssh,0.6080402010050251,shared,government
ssh,1.0,a_only,contest
ssh,0.5763546798029556,shared,plane
ssh,0.2549019607843137,shared,remember
ssh,1.0,a_only,submarine
ssh,0.3168724279835391,shared,married
ssh,1.0,a_only,howard
ssh,0.23552123552123552,shared,says
ssh,1.0,a_only,bronze
ssh,0.5384615384615384,shared,esteemed
ssh,0.15942028985507245,b_only,risen
ssh,1.0,a_only,creates
ssh,1.0,a_only,philosophical
ssh,0.1111111111111111,b_only,chairs
ssh,1.0,a_only,uss
ssh,0.6931216931216931,shared,problems
ssh,1.0,a_only,atlas
ssh,1.0,a_only,technological
ssh,1.0,a_only,cipher
ssh,0.7204301075268817,shared,influenced
ssh,0.6243654822335025,shared,parker
ssh,0.22137404580152673,shared,thinking
ssh,1.0,a_only,opponent
ssh,1.0,a_only,attitudes
ssh,0.5094339622641509,shared,stark
ssh,0.36752136752136755,shared,unconscious
ssh,0.5609756097560976,shared,ruined
ssh,1.0,a_only,sided
ssh,1.0,a_only,endangered
ssh,0.6080402010050251,shared,protest
ssh,0.5165876777251185,shared,deny
ssh,0.6666666666666666,shared,robert
ssh,0.42857142857142855,shared,bringing
ssh,0.6326530612244898,shared,dramatic
ssh,0.5384615384615384,shared,engagements
ssh,0.3278008298755187,shared,river
ssh,0.3852813852813853,shared,barred
ssh,1.0,a_only,oxygen
ssh,0.675392670157068,shared,planted
ssh,0.0847457627118644,b_only,bowed
ssh,0.20300751879699247,b_only,goin
ssh,0.7297297297297297,shared,net
ssh,0.5384615384615384,shared,medicines
ssh,0.30612244897959184,shared,mistake
ssh,0.5023474178403756,shared,assisted
ssh,0.48148148148148145,shared,pool
ssh,0.30612244897959184,shared,alas
ssh,1.0,a_only,salts
ssh,0.40969162995594716,shared,leaning
ssh,0.3333333333333333,shared,remained
ssh,0.45454545454545453,shared,amount
ssh,1.0,a_only,heir
ssh,0.39737991266375544,shared,ease
ssh,0.3445378151260504,shared,months
ssh,1.0,a_only,vowels
ssh,0.09965635738831616,b_only,indifferent
ssh,1.0,a_only,albatrosses
ssh,1.0,a_only,trojan
ssh,1.0,a_only,provisional
ssh,0.5384615384615384,shared,whence
ssh,0.3389121338912134,shared,appear
ssh,1.0,a_only,heights
ssh,1.0,a_only,montana
ssh,1.0,a_only,measuring
ssh,0.48148148148148145,shared,turns
ssh,0.5841584158415841,shared,previously
ssh,1.0,a_only,format
