method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,129.63078179600416,0.6959711232341498
ssh,8,b_only,phase1,0.0,129.63078179600416,-0.4337664234406919
ssh,527,shared,phase1,0.0,129.63078179600416,0.15423402015814947
ssh,202,cross,phase1,0.0,129.63078179600416,0.10631802015622058
ssh,15,a_only,phase2,0.0,129.63078179600416,0.6959711232341498
ssh,8,b_only,phase2,0.0,129.63078179600416,0.04761904761904763
ssh,527,shared,phase2,0.0,129.63078179600416,0.0623906057217757
ssh,202,cross,phase2,0.0,129.63078179600416,0.26263177640880464
