method,phase_similarity,tag,word
ssh,1.0,a_only,conservatives
ssh,0.2549019607843137,shared,boy
ssh,0.3008130081300813,shared,deep
ssh,0.6842105263157895,shared,wages
ssh,0.6842105263157895,shared,succeeding
ssh,1.0,a_only,lindbergh
ssh,1.0,a_only,jpg
ssh,1.0,a_only,sometime
ssh,0.3559322033898305,shared,difference
ssh,0.6494845360824743,shared,offence
ssh,1.0,a_only,lovell
ssh,1.0,a_only,manufacturers
ssh,0.19402985074626866,b_only,dad
ssh,0.20754716981132076,b_only,looky
ssh,0.6161616161616161,shared,arabian
ssh,0.5165876777251185,shared,print
ssh,0.5311004784688995,shared,regarding
ssh,0.17647058823529413,b_only,peeping
ssh,0.47465437788018433,shared,rage
ssh,0.3008130081300813,shared,black
ssh,1.0,a_only,california
ssh,1.0,a_only,democracy
ssh,0.7204301075268817,shared,lighter
ssh,1.0,a_only,unclear
ssh,1.0,a_only,aes
ssh,0.3114754098360656,shared,cold
ssh,0.5023474178403756,shared,stories
ssh,0.6,shared,scream
ssh,0.5533980582524272,shared,confirmed
ssh,1.0,a_only,enacted
ssh,1.0,a_only,alumni
ssh,1.0,a_only,entity
ssh,1.0,a_only,enforced
ssh,1.0,a_only,amplitude
ssh,1.0,a_only,spectacular
ssh,1.0,a_only,albums
ssh,0.415929203539823,shared,rule
ssh,1.0,a_only,boxer
ssh,0.6410256410256411,shared,fascination
ssh,0.5920398009950248,shared,impressed
ssh,0.6,shared,officer
ssh,1.0,a_only,films
ssh,1.0,a_only,stalin
ssh,0.675392670157068,shared,nail
ssh,1.0,a_only,allows
ssh,1.0,a_only,ransom
ssh,0.415929203539823,shared,ignorant
ssh,0.46788990825688076,shared,add
ssh,1.0,a_only,iowa
ssh,0.11498257839721254,b_only,happily
ssh,0.24031007751937986,shared,everything
ssh,0.5763546798029556,shared,plays
ssh,0.415929203539823,shared,wound
ssh,1.0,a_only,fullback
ssh,1.0,a_only,iran
ssh,0.07744107744107744,b_only,hadn
ssh,0.48148148148148145,shared,picked
ssh,1.0,a_only,context
ssh,1.0,a_only,reduce
ssh,0.45454545454545453,shared,awoke
ssh,0.1552346570397112,b_only,oars
ssh,0.1267605633802817,b_only,gardiner
ssh,0.350210970464135,shared,blame
ssh,0.6243654822335025,shared,magic
ssh,0.285140562248996,shared,work
ssh,1.0,a_only,modified
ssh,0.5686274509803921,shared,hero
ssh,0.5609756097560976,shared,harvey
ssh,0.4479638009049774,shared,intention
ssh,0.7391304347826086,shared,villages
ssh,0.7679558011049724,shared,cargo
ssh,1.0,a_only,typical
ssh,0.2648221343873518,shared,can
ssh,0.4349775784753363,shared,practice
ssh,1.0,a_only,zeus
ssh,0.391304347826087,shared,square
ssh,0.1111111111111111,b_only,begged
ssh,0.4611872146118721,shared,clouds
ssh,0.7391304347826086,shared,ahab
ssh,1.0,a_only,translate
ssh,1.0,a_only,hart
ssh,0.7777777777777778,shared,spectral
ssh,1.0,a_only,acoustics
ssh,1.0,a_only,aa
ssh,0.7582417582417582,shared,breach
ssh,1.0,a_only,thesis
ssh,0.7679558011049724,shared,vessels
ssh,1.0,a_only,distances
ssh,0.5609756097560976,shared,mental
ssh,0.6410256410256411,shared,acts
ssh,0.4222222222222222,shared,fish
ssh,1.0,a_only,justification
ssh,0.5384615384615384,shared,alongside
ssh,0.4611872146118721,shared,wherever
ssh,0.7112299465240641,shared,advocate
ssh,0.4611872146118721,shared,attack
ssh,1.0,a_only,homo
ssh,0.7486338797814208,shared,ensuing
ssh,0.09965635738831616,b_only,eager
ssh,0.1111111111111111,b_only,regret
ssh,0.5458937198067633,shared,sins
ssh,0.20754716981132076,b_only,tiptoe
ssh,0.5686274509803921,shared,kick
ssh,0.6080402010050251,shared,county
ssh,0.08108108108108109,b_only,wickham
ssh,1.0,a_only,prominent
ssh,1.0,a_only,april
ssh,0.5458937198067633,shared,height
ssh,0.6931216931216931,shared,cows
ssh,0.675392670157068,shared,sale
ssh,0.19850187265917604,b_only,roared
ssh,0.20300751879699247,b_only,adler
ssh,0.20300751879699247,b_only,chap
ssh,1.0,a_only,individualist
ssh,0.21212121212121213,b_only,soundly
ssh,0.23552123552123552,shared,safe
ssh,0.5686274509803921,shared,rocks
ssh,1.0,a_only,anschluss
ssh,0.37339055793991416,shared,charles
ssh,1.0,a_only,comprises
ssh,0.6161616161616161,shared,household
ssh,0.7877094972067039,shared,simplest
ssh,0.45454545454545453,shared,discovery
ssh,1.0,a_only,byzantine
ssh,0.4883720930232558,shared,remembrance
ssh,1.0,a_only,macedonia
ssh,1.0,a_only,germanic
ssh,0.19402985074626866,b_only,neglect
ssh,0.1387900355871886,b_only,tender
ssh,0.1267605633802817,b_only,groan
ssh,1.0,a_only,andes
ssh,1.0,a_only,launched
ssh,0.5920398009950248,shared,shrugged
ssh,0.37339055793991416,shared,servants
ssh,1.0,a_only,vehicles
ssh,0.6494845360824743,shared,throws
ssh,0.7204301075268817,shared,immoral
ssh,0.3008130081300813,shared,minute
ssh,0.21212121212121213,b_only,boggs
ssh,0.07744107744107744,b_only,lamps
