method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,137.28441678499803,0.5357142857142856
ssh,8,b_only,phase1,0.0,137.28441678499803,-0.21957751641341997
ssh,527,shared,phase1,0.0,137.28441678499803,0.17738406893903097
ssh,202,cross,phase1,0.0,137.28441678499803,0.12755712724283763
ssh,15,a_only,phase2,0.0,137.28441678499803,0.5357142857142856
ssh,8,b_only,phase2,0.0,137.28441678499803,-0.42171735612289496
ssh,527,shared,phase2,0.0,137.28441678499803,-0.025798579718013828
ssh,202,cross,phase2,0.0,137.28441678499803,0.2892844029141006
