method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,455.27026634599315,121.61398703302257,0.021466939537054593
ssh,8,b_only,phase1,455.27026634599315,121.61398703302257,-0.47905050476530353
ssh,527,shared,phase1,455.27026634599315,121.61398703302257,0.13078498471344638
ssh,202,cross,phase1,455.27026634599315,121.61398703302257,0.07372556017820137
ssh,15,a_only,phase2,455.27026634599315,121.61398703302257,0.021466939537054593
ssh,8,b_only,phase2,455.27026634599315,121.61398703302257,-0.4071929290505081
ssh,527,shared,phase2,455.27026634599315,121.61398703302257,-0.07742744762524315
ssh,202,cross,phase2,455.27026634599315,121.61398703302257,0.17564811757861087
