method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,123.34066286601592,0.021466939537054593
ssh,8,b_only,phase1,0.0,123.34066286601592,-0.47905050476530353
ssh,527,shared,phase1,0.0,123.34066286601592,0.13078498471344638
ssh,202,cross,phase1,0.0,123.34066286601592,0.07372556017820137
ssh,15,a_only,phase2,0.0,123.34066286601592,0.021466939537054593
ssh,8,b_only,phase2,0.0,123.34066286601592,-0.5030030300035688
ssh,527,shared,phase2,0.0,123.34066286601592,-0.05782776635931778
ssh,202,cross,phase2,0.0,123.34066286601592,0.10912312951536605
