method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
word2vec,15,a_only,phase1,12.418721260968596,1.5713321650400758,0.41785714285714276
word2vec,8,b_only,phase1,12.418721260968596,1.5713321650400758,0.0
word2vec,527,shared,phase1,12.418721260968596,1.5713321650400758,0.1702922679933134
word2vec,202,cross,phase1,12.418721260968596,1.5713321650400758,0.1507141105229584
word2vec,15,a_only,phase2,12.418721260968596,1.5713321650400758,0.41785714285714276
word2vec,8,b_only,phase2,12.418721260968596,1.5713321650400758,-0.11904761904761905
word2vec,527,shared,phase2,12.418721260968596,1.5713321650400758,0.0947847895201183
word2vec,202,cross,phase2,12.418721260968596,1.5713321650400758,0.13601040139561654
