variant,mean,std,count
w2v_baseline,1.1819811430847478,0.0028536287860509674,5
ssh_baseline,0.9665285942708118,0.003923475431301479,5
ssh_absolute,0.8915468610252008,0.07148278406753383,5
ssh_proportional,0.9618886971975613,0.008412737381862169,5
