seed,variant,n_shared_pairs,mean_sim_phase1,mean_sim_phase2,retention_shared
0,w2v_baseline,527,0.5788448099789176,0.6867238610304284,1.1863695574215132
0,ssh_baseline,527,0.3436151114388494,0.33293497403604394,0.9689183128236603
0,ssh_absolute,527,0.3436151114388494,0.32060098774576323,0.9330235402141742
0,ssh_proportional,527,0.3436151114388494,0.3311612986911108,0.9637565044925129
1,w2v_baseline,527,0.5791625288620845,0.6825229358740956,1.1784652871363925
1,ssh_baseline,527,0.4192685995188419,0.4076149881044895,0.97220490294831
1,ssh_absolute,527,0.4192685995188419,0.3334225347980437,0.7952480466714744
1,ssh_proportional,527,0.4192685995188419,0.40876667960145846,0.9749518091041505
2,w2v_baseline,527,0.5778471425006014,0.6830941034053263,1.1821363353105363
2,ssh_baseline,527,0.336751687953961,0.32492364176218813,0.9648760596757872
2,ssh_absolute,527,0.336751687953961,0.3182997952540174,0.9452062354548132
2,ssh_proportional,527,0.336751687953961,0.323633464511728,0.9610448175570052
3,w2v_baseline,527,0.5805478007152705,0.68563822364219,1.1810194144176271
3,ssh_baseline,527,0.32771594324211734,0.31555960286395707,0.9629058621381166
3,ssh_absolute,527,0.32771594324211734,0.3111410452745314,0.9494229734336106
3,ssh_proportional,527,0.32771594324211734,0.31361427945459824,0.9569698573465474
4,w2v_baseline,527,0.5793748788351805,0.6847719301026053,1.1819151211376702
4,ssh_baseline,527,0.4034614832591982,0.3888310958851186,0.9637378337681853
4,ssh_absolute,527,0.4034614832591982,0.3368231659576118,0.8348335093519311
4,ssh_proportional,527,0.4034614832591982,0.38438602504778446,0.9527204974875906
