method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,128.46997923601884,0.557142857142857
ssh,8,b_only,phase1,0.0,128.46997923601884,-0.38557015416950396
ssh,527,shared,phase1,0.0,128.46997923601884,0.18153814748775726
ssh,202,cross,phase1,0.0,128.46997923601884,0.09350769905451174
ssh,15,a_only,phase2,0.0,128.46997923601884,0.557142857142857
ssh,8,b_only,phase2,0.0,128.46997923601884,-0.17964393928698885
ssh,527,shared,phase2,0.0,128.46997923601884,0.054901666387895544
ssh,202,cross,phase2,0.0,128.46997923601884,0.30896352157959434
