method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
word2vec,15,a_only,phase1,12.754769857041538,1.569472321018111,0.5071428571428571
word2vec,8,b_only,phase1,12.754769857041538,1.569472321018111,0.38095238095238104
word2vec,527,shared,phase1,12.754769857041538,1.569472321018111,0.1800822574166283
word2vec,202,cross,phase1,12.754769857041538,1.569472321018111,0.062183920866300736
word2vec,15,a_only,phase2,12.754769857041538,1.569472321018111,0.5071428571428571
word2vec,8,b_only,phase2,12.754769857041538,1.569472321018111,-0.023809523809523815
word2vec,527,shared,phase2,12.754769857041538,1.569472321018111,0.07930179219415467
word2vec,202,cross,phase2,12.754769857041538,1.569472321018111,0.12124408611989605
