method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,922.1169705920038,125.18590123602189,0.557142857142857
ssh,8,b_only,phase1,922.1169705920038,125.18590123602189,-0.38557015416950396
ssh,527,shared,phase1,922.1169705920038,125.18590123602189,0.18153814748775726
ssh,202,cross,phase1,922.1169705920038,125.18590123602189,0.09350769905451174
ssh,15,a_only,phase2,922.1169705920038,125.18590123602189,0.557142857142857
ssh,8,b_only,phase2,922.1169705920038,125.18590123602189,-0.467074242146171
ssh,527,shared,phase2,922.1169705920038,125.18590123602189,0.010984628332023318
ssh,202,cross,phase2,922.1169705920038,125.18590123602189,0.2206490199558579
