method,phase_similarity,tag,word
ssh,1.0,a_only,tony
ssh,1.0,a_only,unemployment
ssh,0.6243654822335025,shared,traced
ssh,1.0,a_only,benz
ssh,1.0,a_only,est
ssh,0.3445378151260504,shared,possibly
ssh,0.7204301075268817,shared,expenses
ssh,0.2749003984063745,shared,nearly
ssh,0.3445378151260504,shared,greater
ssh,0.3852813852813853,shared,marquis
ssh,1.0,a_only,planet
ssh,1.0,a_only,amines
ssh,1.0,a_only,speculated
ssh,1.0,a_only,propagation
ssh,1.0,a_only,nucleus
ssh,1.0,a_only,overseas
ssh,0.7486338797814208,shared,errors
ssh,0.10726643598615918,b_only,wretchedness
ssh,0.08843537414965986,b_only,momentary
ssh,0.7777777777777778,shared,famine
ssh,1.0,a_only,institution
ssh,0.3445378151260504,shared,power
ssh,0.30612244897959184,shared,s
ssh,1.0,a_only,training
ssh,0.40350877192982454,shared,rock
ssh,1.0,a_only,aids
ssh,1.0,a_only,neurological
ssh,1.0,a_only,orbitals
ssh,1.0,a_only,geological
ssh,1.0,a_only,arctic
ssh,0.7391304347826086,shared,grain
ssh,0.6,shared,sovereign
ssh,1.0,a_only,apache
ssh,1.0,a_only,review
ssh,0.6326530612244898,shared,banking
ssh,0.4611872146118721,shared,receiving
ssh,0.7486338797814208,shared,serves
ssh,1.0,a_only,accession
ssh,0.46788990825688076,shared,unusual
ssh,0.30612244897959184,shared,slept
ssh,0.6080402010050251,shared,wearing
ssh,1.0,a_only,administrator
ssh,0.675392670157068,shared,populace
ssh,0.2903225806451613,shared,shoulder
ssh,1.0,a_only,publisher
ssh,1.0,a_only,construct
ssh,1.0,a_only,ignored
ssh,0.7204301075268817,shared,neutral
ssh,0.1111111111111111,b_only,conjecture
ssh,0.6161616161616161,shared,wing
ssh,0.4953271028037383,shared,bark
ssh,0.11888111888111888,b_only,shone
ssh,0.28,shared,leave
ssh,0.3114754098360656,shared,duchess
ssh,1.0,a_only,orbits
ssh,1.0,a_only,abortions
ssh,0.7297297297297297,shared,beam
ssh,0.7021276595744681,shared,stuffed
ssh,0.10726643598615918,b_only,heartless
ssh,1.0,a_only,immigration
ssh,0.7486338797814208,shared,manager
ssh,0.07023411371237458,b_only,trousers
ssh,1.0,a_only,athlete
ssh,0.5094339622641509,shared,beloved
ssh,0.7486338797814208,shared,hugh
ssh,0.7582417582417582,shared,harder
ssh,0.0958904109589041,b_only,temptation
ssh,0.10726643598615918,b_only,contented
ssh,0.07744107744107744,b_only,hearted
ssh,0.5763546798029556,shared,descent
ssh,0.7486338797814208,shared,philosopher
ssh,0.6080402010050251,shared,western
ssh,0.37339055793991416,shared,devil
ssh,0.2749003984063745,shared,looking
ssh,1.0,a_only,starring
ssh,0.4953271028037383,shared,actress
