method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,0.0,130.37760783400154,0.557142857142857
ssh,8,b_only,phase1,0.0,130.37760783400154,-0.38557015416950396
ssh,527,shared,phase1,0.0,130.37760783400154,0.18153814748775726
ssh,202,cross,phase1,0.0,130.37760783400154,0.09350769905451174
ssh,15,a_only,phase2,0.0,130.37760783400154,0.557142857142857
ssh,8,b_only,phase2,0.0,130.37760783400154,-0.7142857142857144
ssh,527,shared,phase2,0.0,130.37760783400154,0.03488192333042998
ssh,202,cross,phase2,0.0,130.37760783400154,0.19420356069937267
