method,n_pairs,partition,phase,phase1_s,phase2_s,simlex_spearman
ssh,15,a_only,phase1,556.8077766820206,129.54076920100488,0.6959711232341498
ssh,8,b_only,phase1,556.8077766820206,129.54076920100488,-0.4337664234406919
ssh,527,shared,phase1,556.8077766820206,129.54076920100488,0.15423402015814947
ssh,202,cross,phase1,556.8077766820206,129.54076920100488,0.10631802015622058
ssh,15,a_only,phase2,556.8077766820206,129.54076920100488,0.6959711232341498
ssh,8,b_only,phase2,556.8077766820206,129.54076920100488,-0.4285714285714286
ssh,527,shared,phase2,556.8077766820206,129.54076920100488,-0.010778222533776626
ssh,202,cross,phase2,556.8077766820206,129.54076920100488,0.1716382227103138
